title	rating	review
Vraiment pas male	4,0 sur 5 etoiles	J'ai commande l'iphone je l'ai recu 2 jours apres donc assez content de ce points. Par contre je m'attendait a un produit neuf et non recondition, l'etat du telephone et irreprochable vraiment comme mais la ou je suis decu c'est qu'il n'etait meme pas dans sa boite d'origine avec tout les accessoires mais plutot dans une vulgaire boite beaucoup plus grande que le tel avec juste un chargeur, pas de notice, pas d'ecouteurs, pas d'adaptateur pour les ecouteurs bref pour le prix et de plus pour un produit d'occasion ils auraient pus faire un effort avec les accessoires
Excellent etat	5,0 sur 5 etoiles	Manque juste l'ecouteur...
Satisfaction totale	5,0 sur 5 etoiles	Vendeur proactif, livraison tres rapide, produit conforme a la description. Une vraie bonne affaire a saisir. Je recommande !
Juste genial	5,0 sur 5 etoiles	iPhone conforme a sa description, on ne remarque pas la difference avec un neuf, je recommande.
Visuellement bien mais les defauts sont caches	2,0 sur 5 etoiles	Telephone etat neuf avec un verre trzmpe deja installe. Au moment de son changement y pour mettre une vitre plus resistante j'ai remarque qu'en l'ecran etait raye a plusieurs endroit.Etat de la batterie a 100% a la reception ce qui est top mais surprit qu'au bout d'un mois je suis deja a 97%...la batterie ne doit pas etre l'original et donc beaucoup moins bien. J'espere qu'avec le temps ca va diminuer plus lentement sinon je vais devoir changer la batterie d'en moins d'un an..tout le reste fonctionne parfaitement comme neuf.
iPhone X reconditionne	5,0 sur 5 etoiles	Vraiment tres satisfaite de cet iPhone reconditionneRecu bien emballe avec un verre trempe !Il y a aucunes rayures, il est comme neufJe recommande !
l'iPhone X est un formidable telephone	4,0 sur 5 etoiles	J'ai recu l'iPhone X avant la date fixee, un bon debut. Esthetiquement, le telephone est irreprochable, comme neuf. J'ai pourtant ete surpris de constater qu'il avait ete utilise pendant plus d'un an, et que la batterie n'avait pas ete remplacee. Il faut savoir (c'est indique sur la page du site) que le telephone peut etre vendu alors que la batterie n'a plus que 80% de sa capacite de recharge... Donc la mention de "neuf" presente dans les mails recus a la suite de la commande est malvenue, meme si le telephone, a l'usage, est irreprochable.
Comme neuf	5,0 sur 5 etoiles	Produit reconditionne MAIS vendu comme tel.Aucunes rayures exterieures, fonctionne parfaitement et le tout garantie Apple CARE pendant 10mois. Seul bemol pas de kit pieton et chargeur non OEM. Mais a ce prix (750e le 256gb) on va pas se plaindre
Satisfait mais bemol	3,0 sur 5 etoiles	L'iPhone fonctionne bien, cependant beaucoup de micro rayures mais previsible (iPhone reconditionne). Cependant, chargeur de telephone n'est pas apple, ainsi que les ecouteurs bas de gamme ... C'est dommage !
Au top	4,0 sur 5 etoiles	Bonjour , recu le produit 2 jour apres , il marche super bien pour l'instant au top rien a dire a part manque les ecouteurs et boite origine mais c'est preciser donc voila :)
Arnaque	1,0 sur 5 etoiles	Le telephone est bloque iTunes
Comme neuf	5,0 sur 5 etoiles	Livraison rapide, article comme neuf. Tres satisfaite
Reconnaissance faciale HS	1,0 sur 5 etoiles	Globallement satisfaisant mais reconnaissance faciale ne fonctionne pas
.	5,0 sur 5 etoiles	Il est plus grand que mon ancien iPhone je valide
iPhone	5,0 sur 5 etoiles	Tres content de l'achat
Marche pas	1,0 sur 5 etoiles	portable qui ne fonctionne pas, le tactile ne marche a aucun endroit de l'ecran.Donc on m'a envoye un portable inutile
Mensonge sur la marchandise ...	1,0 sur 5 etoiles	Le produit est tres bien, il fonctionne parfaitement et est conforme aux caracteristiques attendues d'un iPhone X.Cependant lorsque j'ai commande ce telephone, la description indiquait qu'il s'agissait d'un produit neuf (son prix l'indiquait egalement), or a la reception j'ai eu quelques doutes et je suis alle me renseigner directement en Apple Store, ou l'on m'a dit que ce produit avait deja ete utilise ...J'ai alors essaye de contacter le vendeur, mais impossible de le joindre ... depuis des mois que j'essaie, aucun moyen pour le joindre.
A-Montain parfait	5,0 sur 5 etoiles	Vendu par A-Montain a presque 200EUR moins cher que le prix d'origine, on est en droit de se poser des questions sur la qualite du produit.L'iPhone X que j'ai achete est bien neuf, sous blister, film plastique, tous les accessoires neufs et encore sous plastique. Rien ne manque a l'appel, apres moult verifications, il n'y donc absolument rien a signaler!(Les notices ne sont juste pas en francais)Pour 10EUR en plus recu en moins de 36h, expedie par Amazon.Parfait et je recommande.
Produit reconditionne par Apple	3,0 sur 5 etoiles	Le produit n'est pas vraiment neuf, mais remis a neuf par Apple (numero de serie commencant par F).Ce n'est pas tres grave, car Apple fait bien les choses : il s'agit d'un iphone passe en SAV entierement remis a neuf, teste, emballe dans sa boite et blisters d'origine, sans aucune trace ou rayure (le boitier et l'ecran son systematiquement changes) et sous la meme garantie d'un an que les unites neuves.Mais ce n'est pas tres honnete de la part du revendeur qui ne parle a aucun instant de reconditionne.Ca reste un bon plan pour le prix.
Contente de ma commande	5,0 sur 5 etoiles	Iphone X moins chere qu'en magasin, ce n'est pas une minable copie comme j'avais peur de decouvrir en ouvrant sa boite, c'est bien un Iphone X d'apple aucun soucis, bien emballe, recu 1jour apres la date de livraison prevue, mais sinon tres contente de mon achat, c'est un tres bon telephoneSeul point negatif mais c'est la faute de Apple, il nous fournisse un chargeur pas assez puissant pour recharger normalement la batterie du telephone qui est beaucoup plus performante que celle des autres modeles avant l'iphone X, il faudra compter environ 120EUR de plus chez Apple pour avoir un chargeur qui charge correctement et normalement (en temps) votre telephoneAvec le chargeur fournis mon telephone met environ 3-4h bon avoir une charge a 100% c'est bien dommage mais ce n'est pas la faute du vendeur, en tout cas tres bon achat je ne regrette pas
